2024-11-06 11:13:36.979340 - Executou adicionar_pedido com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001A1C1E6BE50>, <models.pedido.Pedido object at 0x000001A1C21D7AC0>) kwargs={}. Retorno: None
2024-11-06 11:13:36.979340 - Executou listar_pedidos_por_status com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001A1C1E6BE50>, 'Novo') kwargs={}. Retorno: [<models.pedido.Pedido object at 0x000001A1C21D7AC0>]
2024-11-06 11:18:41.609244 - Executou adicionar_pedido com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x0000027F6FB7BE50>, <models.pedido.Pedido object at 0x0000027F6FEDD270>) kwargs={}. Retorno: None
2024-11-06 11:18:41.619039 - Executou listar_pedidos_por_status com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x0000027F6FB7BE50>, 'Novo') kwargs={}. Retorno: [<models.pedido.Pedido object at 0x0000027F6FEDD270>]
2024-11-06 11:21:02.595598 - Executou adicionar_pedido com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x0000022E784CBE50>, Pedido(cliente='Cliente A', status='Novo', total=3100.00)) kwargs={}. Retorno: None
2024-11-06 11:21:02.598778 - Executou listar_pedidos_por_status com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x0000022E784CBE50>, 'Novo') kwargs={}. Retorno: [Pedido(cliente='Cliente A', status='Novo', total=3100.00)]
2024-11-07 08:47:30.796261 - Executou adicionar_pedido com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001F67239BE50>, Pedido(cliente='Cliente A', status='Novo', total=3100.00)) kwargs={}. Retorno: None
2024-11-07 08:47:30.797259 - Executou listar_pedidos_por_status com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001F67239BE50>, 'Novo') kwargs={}. Retorno: [Pedido(cliente='Cliente A', status='Novo', total=3100.00)]
2024-11-07 08:48:23.468019 - Executou adicionar_pedido com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001CBBB3BBE50>, Pedido(cliente='Cliente A', status='Novo', total=3100.00)) kwargs={}. Retorno: None
2024-11-07 08:48:23.468019 - Executou listar_pedidos_por_status com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001CBBB3BBE50>, 'Novo') kwargs={}. Retorno: [Pedido(cliente='Cliente A', status='Novo', total=3100.00)]
2024-11-07 10:31:46.403661 - Executou adicionar_pedido com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001B42F41BE50>, Pedido(cliente='Cliente A', status='Novo', total=3100.00)) kwargs={}. Retorno: None
2024-11-07 10:31:46.403661 - Executou listar_pedidos_por_status com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001B42F41BE50>, 'Novo') kwargs={}. Retorno: [Pedido(cliente='Cliente A', status='Novo', total=3100.00)]
2024-11-07 10:59:37.965101 - Executou adicionar_pedido com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001C6DBEDBE50>, Pedido(cliente='Cliente A', status='Novo', total=3100.00)) kwargs={}. Retorno: None
2024-11-07 10:59:37.966841 - Executou listar_pedidos_por_status com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001C6DBEDBE50>, 'Novo') kwargs={}. Retorno: [Pedido(cliente='Cliente A', status='Novo', total=3100.00)]
2024-11-07 11:13:05.609348 - Executou adicionar_pedido com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001D762F8BE50>, Pedido(cliente='Cliente A', status='Novo', total=3100.00)) kwargs={}. Retorno: None
2024-11-07 11:13:05.609348 - Executou listar_pedidos_por_status com args=(<models.gestor_de_pedidos.GestorDePedidos object at 0x000001D762F8BE50>, 'Novo') kwargs={}. Retorno: [Pedido(cliente='Cliente A', status='Novo', total=3100.00)]
